Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012,3,21,48.9,39.2,34.5,29.1,26.3,30.8,31.8,20.3,22.7,42.0,39.5,45.9,48.2,54.3,51.8,54.0,70.9,57.1,62.3,61.2,66.5,67.4,62.2,60.7
2012,3,22,64.1,68.0,64.8,63.7,62.1,62.5,68.6,78.5,86.0,86.0,83.4,83.4,85.0,89.9,93.8,96.2,93.8,79.6,77.5,76.0,85.8,89.5,92.3,92.0
2012,3,23,85.0,85.0,87.2,93.7,97.2,72.3,58.6,94.0,89.4,86.1,80.2,71.4,72.2,74.8,78.2,80.7,81.6,67.0,78.1,90.3,92.9,93.1,84.2,60.9
2012,3,24,40.7,47.2,82.0,69.2,45.7,49.0,39.0,30.0,37.3,37.1,36.7,30.5,26.7,19.7,15.6,11.1,8.3,9.4,23.4,23.0,45.8,33.7,41.7,43.6
2012,3,25,40.7,47.0,62.6,67.3,61.6,55.9,52.0,33.3,25.3,7.3,8.7,22.5,35.1,49.1,72.1,63.9,51.7,39.6,29.0,9.9,2.5,3.8,15.2,15.1
2012,3,26,16.5,32.1,56.6,65.8,71.0,73.5,75.7,55.5,41.8,45.7,54.2,67.6,87.6,89.9,91.3,91.6,90.6,68.5,57.9,54.3,55.9,57.4,37.4,50.8
2012,3,27,89.3,78.5,79.1,81.2,73.1,63.9,71.2,81.0,91.8,98.5,97.7,96.4,91.7,88.7,89.5,93.5,96.1,98.7,97.3,94.8,96.9,94.9,95.9,93.4
2012,3,28,94.8,98.2,98.4,98.7,98.7,96.2,96.4,95.6,97.2,96.3,93.7,86.0,83.6,83.4,82.2,77.3,67.4,46.4,47.4,37.7,17.3,10.2,8.2,1.5
2012,3,29,0.7,1.3,2.2,5.6,20.6,28.1,24.4,14.6,19.5,41.3,80.8,92.7,93.7,94.2,94.1,94.8,94.4,84.3,91.3,99.4,99.7,89.2,80.1,80.9
2012,3,30,79.9,79.9,78.8,53.4,60.6,62.9,86.8,86.4,72.7,85.1,93.2,93.0,82.7,94.8,92.6,91.8,98.1,96.4,86.3,81.8,87.6,91.3,67.2,60.6
2012,3,31,38.6,39.3,38.1,21.9,12.6,15.5,23.6,10.5,2.9,0.8,0.1,0.2,1.7,5.5,6.3,4.8,4.6,6.6,15.7,43.3,44.2,48.1,64.0,68.4
2012,4,1,77.3,74.2,70.0,73.1,74.1,82.3,89.6,99.7,99.8,100.0,99.9,99.1,97.3,94.8,95.7,99.2,99.5,91.7,94.0,98.0,97.4,96.9,91.2,99.6
2012,4,2,94.9,95.6,96.1,99.6,95.9,93.3,97.6,99.8,99.6,97.8,97.2,95.3,89.2,82.8,66.2,52.3,47.1,35.3,22.4,6.5,2.6,4.9,11.2,29.2
2012,4,3,46.0,64.4,62.7,62.6,57.8,53.0,46.4,28.0,38.9,65.4,76.4,86.4,83.9,77.8,75.4,81.6,84.8,76.3,86.8,87.0,83.9,86.2,87.1,86.6
2012,4,4,67.3,63.5,55.6,64.1,82.5,95.6,67.8,48.9,58.0,77.4,68.4,84.5,96.3,98.3,97.3,97.3,92.8,77.8,69.7,68.2,65.7,65.5,86.2,77.7
2012,4,5,86.6,88.4,70.1,65.8,62.3,69.6,93.2,97.3,92.2,91.7,86.3,78.1,71.4,68.7,62.2,60.2,58.3,59.6,58.0,57.4,71.1,71.1,62.9,54.1
2012,4,6,60.6,57.8,59.3,53.1,47.6,67.4,40.1,39.9,30.2,22.1,21.7,21.0,18.6,21.1,23.9,21.7,18.4,10.3,4.2,2.8,0.4,0.0,0.0,0.0
2012,4,7,0.0,0.0,0.3,1.3,2.4,4.4,5.1,2.0,2.9,11.6,25.2,31.3,39.9,46.6,50.9,55.4,62.1,55.6,77.5,88.4,74.2,67.5,79.5,84.0
2012,4,8,84.4,83.4,80.1,73.4,61.2,51.3,33.8,9.1,6.5,5.6,8.7,22.1,28.4,37.0,56.0,67.4,68.5,57.3,63.1,91.4,99.2,98.3,94.6,72.7
2012,4,9,76.6,98.5,92.8,92.4,92.5,85.8,90.7,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,99.7,97.8,82.6,69.3,70.0,68.0,59.4,50.7,48.3
2012,4,10,43.8,56.3,44.7,46.8,32.1,31.2,22.4,26.9,21.3,19.5,16.6,12.5,9.8,8.5,8.4,10.2,13.2,22.7,47.7,68.7,78.3,75.1,70.3,66.4
2012,4,11,63.3,63.5,70.1,83.5,80.6,74.0,67.7,72.7,72.7,77.6,82.6,82.2,79.8,88.0,94.0,83.3,88.6,96.3,97.6,68.9,49.7,37.2,11.5,4.7
2012,4,12,4.6,12.3,14.8,21.1,32.6,38.8,32.5,34.8,51.1,65.6,65.1,72.9,85.8,91.4,86.7,84.8,88.1,71.7,45.1,20.3,26.6,39.3,56.9,64.1
2012,4,13,72.3,76.8,64.7,61.6,64.2,52.5,42.8,47.0,43.3,37.5,32.0,25.6,19.3,18.2,14.8,12.0,7.5,3.1,0.6,0.1,0.0,0.1,0.5,0.5
